strain,state,supercategory,category,condition,month
Hindu Kush,OR,Inhalents,Flower,Pain,0219
Hindu Kush,OR,Inhalents,Flower,Pain,0219
Hindu Kush,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Gelato,OR,Inhalents,Flower,Pain,0219
Gelato,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Gelato,OR,Inhalents,Flower,Pain,0219
Gelato,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Timewreck,OR,Inhalents,Flower,Pain,0219
Timewreck,OR,Inhalents,Flower,Pain,0219
Timewreck,OR,Inhalents,Flower,Pain,0219
Timewreck,OR,Inhalents,Flower,Pain,0219
Strawberry Fields,OR,Inhalents,Flower,Pain,0219
Strawberry Fields,OR,Inhalents,Flower,Pain,0219
Strawberry Fields,OR,Inhalents,Flower,Pain,0219
Strawberry Fields,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Depression,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Blackberry Fire,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
Blackberry Fire,OR,Inhalents,Flower,Pain,0219
Sour Diesel,OR,Inhalents,Flower,Pain,0219
Blackberry Fire,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
Sour Diesel,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
Critical Kush,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
Blackberry Fire,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
OG Kush,OR,Inhalents,Flower,Pain,0219
Sour Diesel,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
MK Ultra,OR,Inhalents,Flower,Pain,0219
MK Ultra,OR,Inhalents,Flower,Pain,0219
MK Ultra,OR,Inhalents,Flower,Pain,0219
MK Ultra,OR,Inhalents,Flower,Pain,0219
MK Ultra,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Mad Scientist,OR,Inhalents,Flower,Pain,0219
Maui,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Blue Dream,OR,Inhalents,Flower,Pain,0219
Maui,OR,Inhalents,Flower,Pain,0219
Blue Dream,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Blue Dream,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
White Widow,OR,Inhalents,Flower,Pain,0219
Hawaiian,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Ancient OG,OR,Inhalents,Flower,Pain,0219
Ancient OG,OR,Inhalents,Flower,Pain,0219
Ancient OG,OR,Inhalents,Flower,Pain,0219
COLORADO COUGH,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
COLORADO COUGH,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
Tangie,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
,OR,Inhalents,Flower,Pain,0219
