strain,state,supercategory,category,condition,month
Kimbo Kush,WA,Inhalents,Flower,Pain,0319
Funky Monkey,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
Orange Blossom,WA,Inhalents,Flower,Pain,0319
Pearl Scout Cookies,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
Dr. Who,WA,Inhalents,Flower,Pain,0319
Mandarin Sunset,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
P-91,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Cancer,0319
P-91,WA,Inhalents,Flower,Pain,0319
Larry OG,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
SFV OG Kush,WA,Inhalents,Flower,Pain,0319
Big Skunk Korean,WA,Inhalents,Flower,Pain,0319
Big Skunk Korean,WA,Inhalents,Flower,Pain,0319
Big Skunk Korean,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
Divina Obscura,WA,Inhalents,Flower,Pain,0319
Big Bud,WA,Inhalents,Flower,Pain,0319
Pez,WA,Inhalents,Flower,Pain,0319
Rainbow,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
,WA,Inhalents,Flower,Pain,0319
Cinex,WA,Inhalents,Flower,Pain,0319
Sour Diesel,WA,Inhalents,Flower,Pain,0319
Lemon Kush,WA,Inhalents,Flower,Pain,0319
Sour Diesel,WA,Inhalents,Flower,Pain,0319
Sour Diesel,WA,Inhalents,Flower,Pain,0319
Lemon Kush,WA,Inhalents,Flower,Pain,0319
Bubble Gum,WA,Inhalents,Flower,Pain,0319
Huckleberry,WA,Inhalents,Flower,Pain,0319
